contribution_id,candidate,party,office,amount,date,contributor_type,state,employer,occupation
1,Wilson (I),Independent,House,1000,2024-11-04,PAC,NM,Education,Business Owner
2,Jones (R),Republican,Governor,50,2024-09-17,Union PAC,NY,Not Employed,Business Owner
3,Brown (D),Democrat,House,1693.038197633451,2024-08-10,Individual,NM,Education,Engineer
4,Wilson (I),Independent,Senate,4685.86134723902,2024-10-08,Individual,SC,Tech Corp,Consultant
5,Smith (D),Democrat,Senate,500,2024-09-13,Individual,MN,Healthcare Inc,Consultant
6,Miller (D),Democrat,House,500,2024-04-20,Union PAC,ND,Retail Co,Retired
7,Smith (D),Democrat,Senate,250,2024-05-02,Individual,DE,Not Employed,Engineer
8,Miller (D),Democrat,Senate,4075.2618724580743,2024-12-24,Super PAC,CO,Finance LLC,Attorney
9,Brown (D),Democrat,Senate,500,2024-01-09,Super PAC,AR,Tech Corp,Business Owner
10,Davis (R),Republican,House,100,2024-04-23,Corporate PAC,CT,Not Employed,Sales
11,Smith (D),Democrat,Governor,1008.7835585047795,2024-05-12,Individual,VT,Tech Corp,Business Owner
12,Taylor (R),Republican,House,500,2024-04-05,Individual,MN,Not Employed,Retired
13,Jones (R),Republican,Governor,100,2024-09-24,PAC,ME,Retired,Retired
14,Miller (D),Democrat,House,1963.9052159521252,2024-12-13,Individual,MN,Retired,Engineer
15,Taylor (R),Republican,House,25,2024-02-05,Corporate PAC,KY,Retired,Business Owner
16,Taylor (R),Republican,House,4262.630170363476,2024-05-18,Individual,MN,Retired,Retired
17,Brown (D),Democrat,Senate,25,2024-09-13,Individual,MI,Education,Teacher
18,Miller (D),Democrat,House,100,2024-11-08,Individual,WA,Education,Engineer
19,Davis (R),Republican,Governor,6917.305115238492,2024-10-03,Individual,FL,Education,Engineer
20,Wilson (I),Independent,House,25,2024-03-25,Individual,NV,Retail Co,Engineer
21,Taylor (R),Republican,Governor,50,2024-11-01,PAC,CT,Finance LLC,Healthcare
22,Brown (D),Democrat,Governor,100,2024-04-01,Individual,AK,Self-employed,Engineer
23,Jones (R),Republican,House,100,2024-09-02,Individual,OR,Self-employed,Business Owner
24,Wilson (I),Independent,House,2248.1585433029463,2024-06-24,Individual,MN,Healthcare Inc,Retired
25,Wilson (I),Independent,Senate,250,2024-09-10,Individual,OH,Retail Co,Teacher
26,Smith (D),Democrat,Senate,500,2024-07-16,Individual,NV,Not Employed,Sales
27,Taylor (R),Republican,House,250,2024-07-23,Corporate PAC,WI,Not Employed,Attorney
28,Smith (D),Democrat,House,100,2024-03-30,Corporate PAC,OK,Education,Consultant
29,Davis (R),Republican,Governor,100,2024-12-26,Super PAC,MA,Healthcare Inc,Teacher
30,Brown (D),Democrat,Senate,500,2024-06-17,Individual,OH,Healthcare Inc,Retired
31,Miller (D),Democrat,House,100,2024-10-17,Individual,MI,Finance LLC,Healthcare
32,Jones (R),Republican,Senate,7954.265614856428,2024-03-19,Individual,NE,Healthcare Inc,Business Owner
33,Wilson (I),Independent,Governor,50,2024-01-23,PAC,MN,Self-employed,Sales
34,Smith (D),Democrat,Senate,250,2024-04-27,Individual,GA,Not Employed,Engineer
35,Jones (R),Republican,House,1000,2024-04-19,Union PAC,MA,Self-employed,Sales
36,Wilson (I),Independent,House,250,2024-04-01,Individual,ME,Retail Co,Retired
37,Miller (D),Democrat,Governor,500,2024-05-26,Corporate PAC,MA,Finance LLC,Engineer
38,Wilson (I),Independent,Governor,100,2024-05-07,PAC,IA,Not Employed,Teacher
39,Wilson (I),Independent,Senate,250,2024-12-01,Individual,ND,Tech Corp,Teacher
40,Miller (D),Democrat,House,50,2024-08-29,Union PAC,AL,Retail Co,Healthcare
41,Davis (R),Republican,Governor,13595.224565163155,2024-05-26,PAC,AK,Healthcare Inc,Healthcare
42,Jones (R),Republican,Governor,250,2024-08-13,Individual,GA,Retail Co,Business Owner
43,Taylor (R),Republican,Senate,1765.9095939676074,2024-11-14,Individual,NM,Education,Healthcare
44,Taylor (R),Republican,Senate,50,2024-07-31,Individual,NY,Tech Corp,Healthcare
45,Davis (R),Republican,Governor,100,2024-12-30,Individual,DE,Retired,Engineer
46,Davis (R),Republican,Governor,25,2024-07-02,PAC,AR,Tech Corp,Retired
47,Miller (D),Democrat,Senate,1000,2024-02-03,Individual,MI,Not Employed,Healthcare
48,Taylor (R),Republican,House,50,2024-03-07,PAC,ME,Healthcare Inc,Consultant
49,Smith (D),Democrat,Senate,50,2024-11-09,Individual,PA,Healthcare Inc,Sales
50,Davis (R),Republican,House,1000,2024-02-12,Corporate PAC,OR,Education,Business Owner
51,Wilson (I),Independent,House,50,2024-04-11,Union PAC,GA,Retail Co,Attorney
52,Taylor (R),Republican,House,25,2024-08-02,Individual,ME,Finance LLC,Business Owner
53,Brown (D),Democrat,House,25,2024-04-29,Individual,VA,Retired,Consultant
54,Jones (R),Republican,Governor,50,2024-02-17,Individual,IN,Healthcare Inc,Sales
55,Brown (D),Democrat,Governor,250,2024-11-14,Individual,OK,Finance LLC,Healthcare
56,Taylor (R),Republican,Governor,2800,2024-10-09,Individual,NJ,Retired,Retired
57,Brown (D),Democrat,Senate,50,2024-02-20,Individual,CO,Tech Corp,Attorney
58,Brown (D),Democrat,House,50,2024-01-10,Individual,SC,Retired,Sales
59,Taylor (R),Republican,Senate,500,2024-05-04,PAC,AR,Healthcare Inc,Retired
60,Brown (D),Democrat,Governor,3222.762381217501,2024-03-26,PAC,OR,Retired,Sales
61,Miller (D),Democrat,Senate,500,2024-01-15,PAC,ME,Retail Co,Retired
62,Miller (D),Democrat,Senate,3439.8117554488035,2024-07-21,Individual,OR,Retired,Healthcare
63,Smith (D),Democrat,Senate,100,2024-06-29,PAC,NJ,Healthcare Inc,Consultant
64,Jones (R),Republican,House,250,2024-07-21,PAC,MS,Retired,Engineer
65,Miller (D),Democrat,Senate,2800,2024-05-22,Individual,NC,Self-employed,Engineer
66,Jones (R),Republican,House,100,2024-05-19,Individual,SD,Education,Teacher
67,Jones (R),Republican,House,1790.4378335917233,2024-10-22,Individual,WV,Retail Co,Retired
68,Brown (D),Democrat,House,1707.4655305533659,2024-10-21,Individual,ND,Self-employed,Engineer
69,Taylor (R),Republican,Senate,100,2024-05-31,Corporate PAC,AR,Tech Corp,Engineer
70,Brown (D),Democrat,Senate,2558.6634896815176,2024-07-03,PAC,OR,Self-employed,Sales
71,Smith (D),Democrat,Governor,100,2024-06-12,Individual,KY,Education,Healthcare
72,Miller (D),Democrat,Senate,117.71865155210746,2024-09-22,Corporate PAC,MD,Retail Co,Retired
73,Smith (D),Democrat,Governor,9051.228970158916,2024-05-28,Individual,UT,Tech Corp,Healthcare
74,Taylor (R),Republican,Governor,500,2024-08-08,Individual,OK,Healthcare Inc,Consultant
75,Brown (D),Democrat,Senate,25,2024-11-04,Individual,HI,Retired,Retired
76,Davis (R),Republican,House,250,2024-02-19,Individual,VA,Healthcare Inc,Consultant
77,Miller (D),Democrat,House,500,2024-09-25,Individual,CT,Not Employed,Retired
78,Jones (R),Republican,Senate,100,2024-01-29,Individual,NH,Finance LLC,Consultant
79,Taylor (R),Republican,House,25,2024-04-06,PAC,SD,Finance LLC,Attorney
80,Miller (D),Democrat,Senate,250,2024-09-04,Individual,CO,Finance LLC,Sales
81,Smith (D),Democrat,Senate,250,2024-07-29,Individual,NC,Finance LLC,Consultant
82,Davis (R),Republican,Governor,25,2024-06-28,Individual,MD,Finance LLC,Consultant
83,Miller (D),Democrat,House,3820.2288797820356,2024-04-23,PAC,WI,Healthcare Inc,Attorney
84,Brown (D),Democrat,House,6621.48118240949,2024-12-20,Individual,TN,Tech Corp,Business Owner
85,Taylor (R),Republican,House,250,2024-06-30,Individual,GA,Retail Co,Engineer
86,Davis (R),Republican,Governor,1279.6898129131223,2024-10-21,PAC,WY,Self-employed,Business Owner
87,Brown (D),Democrat,Senate,2623.8574266037876,2024-09-15,Corporate PAC,NE,Tech Corp,Business Owner
