district_id,year,incumbent_party,incumbent_spending,challenger_spending,incumbent_vote_share,presidential_vote,median_income,incumbent_scandal,quality_challenger
CD-01-01,2012,Republican,2097.9,1201.0,60.5,42.6,56884.92,False,True
CD-01-01,2014,Republican,1609.0,433.7,71.0,36.4,57414.63,False,False
CD-01-01,2016,Republican,1829.4,489.5,57.7,38.9,59206.86,True,False
CD-01-01,2018,Republican,820.4,415.4,64.3,36.4,63204.48,False,True
CD-01-01,2020,Republican,1717.1,769.1,59.6,41.1,70166.82,False,True
CD-01-01,2022,Republican,1170.1,1472.9,58.2,40.2,67337.87,False,True
CD-01-02,2012,Republican,1855.7,1760.7,51.8,61.3,110369.49,False,True
CD-01-02,2014,Democrat,1404.9,1540.5,57.5,51.9,106908.73,False,False
CD-01-02,2016,Democrat,586.0,811.0,55.5,52.9,112164.27,False,True
CD-01-02,2018,Democrat,2458.5,1418.1,56.9,55.8,117431.44,False,False
CD-01-02,2020,Democrat,2254.9,1479.8,56.1,56.3,121840.37,False,True
CD-01-02,2022,Democrat,458.2,1219.4,54.9,52.6,123240.79,False,False
CD-01-03,2012,Democrat,2238.2,262.8,66.7,63.7,40301.96,False,False
CD-01-03,2014,Democrat,1867.1,250.2,66.9,59.5,44259.1,False,True
CD-01-03,2016,Democrat,1459.7,1035.7,73.2,60.9,47357.59,False,False
CD-01-03,2018,Democrat,999.4,1556.3,66.6,62.3,44878.68,False,False
CD-01-03,2020,Democrat,1768.6,793.7,62.6,66.2,54708.81,False,True
CD-01-03,2022,Democrat,641.0,913.3,64.7,66.6,47943.56,False,False
CD-01-04,2012,Democrat,1367.8,1192.9,60.3,57.3,48493.41,False,False
CD-01-04,2014,Republican,758.9,990.2,52.7,55.1,44776.81,False,True
CD-01-04,2016,Republican,1105.6,1288.4,45.2,52.7,50386.84,False,True
CD-01-04,2018,Republican,2316.8,921.6,48.1,54.6,47263.43,False,False
CD-01-04,2020,Republican,719.3,765.1,53.4,56.9,48978.36,False,False
CD-01-04,2022,Democrat,2228.7,684.2,60.5,54.9,57229.27,False,True
CD-01-05,2012,Democrat,1974.4,953.9,51.5,41.5,67735.54,False,False
CD-01-05,2014,Democrat,991.2,1007.8,42.1,40.0,65008.09,False,False
CD-01-05,2016,Democrat,807.4,770.5,46.3,44.1,72590.78,False,True
CD-01-05,2018,Democrat,1432.5,624.9,52.8,41.8,80433.3,False,False
CD-01-05,2020,Democrat,878.6,1146.4,46.1,36.1,77307.56,False,True
CD-01-05,2022,Democrat,2117.5,867.0,52.0,40.9,86979.08,False,False
CD-01-06,2012,Republican,490.3,636.0,43.5,57.9,57997.45,False,False
CD-01-06,2014,Republican,1211.3,390.8,47.1,60.5,54774.94,False,False
CD-01-06,2016,Republican,1284.2,1160.9,51.6,57.9,56071.01,False,False
CD-01-06,2018,Republican,2168.0,1416.2,53.3,60.8,55933.92,False,False
CD-01-06,2020,Republican,1426.3,859.6,42.0,63.9,58696.02,False,True
CD-01-06,2022,Republican,740.2,1087.3,42.2,64.0,64778.67,False,True
CD-01-07,2012,Republican,2307.3,1456.3,48.2,61.2,111534.97,False,False
CD-01-07,2014,Republican,1130.5,1556.2,49.7,52.7,118950.2,False,True
CD-01-07,2016,Republican,2029.6,317.5,52.7,58.2,121817.16,False,False
CD-01-07,2018,Republican,2463.4,1447.4,49.7,54.6,128362.01,False,False
CD-01-07,2020,Democrat,549.2,459.4,60.6,59.0,133341.97,False,False
CD-01-07,2022,Democrat,2086.3,971.5,58.3,52.4,130074.46,False,False
CD-01-08,2012,Democrat,1289.9,1449.1,58.8,57.3,63292.13,False,True
CD-01-08,2014,Democrat,677.8,297.4,67.4,57.9,65688.78,False,True
CD-01-08,2016,Republican,637.8,895.3,46.7,57.3,69714.0,False,False
CD-01-08,2018,Republican,1734.3,363.5,49.8,62.1,67224.37,False,True
CD-01-08,2020,Republican,722.2,892.7,52.7,61.7,74103.83,False,False
CD-01-08,2022,Republican,1271.3,957.0,48.5,63.0,77753.2,False,True
CD-01-09,2012,Republican,2127.8,831.8,45.2,61.4,107454.47,False,False
CD-01-09,2014,Republican,2426.0,1438.4,48.9,60.5,111378.3,False,False
CD-01-09,2016,Democrat,898.2,1438.2,57.8,65.0,118710.73,False,True
CD-01-09,2018,Democrat,945.5,617.8,53.0,61.8,120305.64,True,True
CD-01-09,2020,Democrat,1238.4,1038.5,61.6,60.5,122613.75,False,False
CD-01-09,2022,Democrat,848.5,773.9,62.9,59.7,132501.06,False,False
CD-02-01,2012,Republican,986.0,539.2,63.3,45.6,42322.79,False,False
CD-02-01,2014,Republican,944.8,827.6,52.5,45.8,39092.87,False,True
CD-02-01,2016,Democrat,589.1,447.8,50.7,42.1,43513.61,False,False
CD-02-01,2018,Republican,1848.7,271.5,59.7,50.4,42144.94,False,False
CD-02-01,2020,Democrat,1322.5,1007.1,49.5,43.6,43392.78,False,True
CD-02-01,2022,Democrat,2254.9,1343.3,59.4,41.0,47454.61,False,False
CD-02-02,2012,Republican,940.0,1511.4,47.1,59.4,44811.29,False,False
CD-02-02,2014,Republican,2474.8,504.6,45.4,64.3,43922.14,False,False
CD-02-02,2016,Republican,614.8,1020.8,41.4,64.1,46644.76,False,False
CD-02-02,2018,Republican,1359.0,1685.0,42.4,63.9,50277.59,False,False
CD-02-02,2020,Republican,1464.1,1694.9,41.3,62.6,48667.65,False,True
CD-02-02,2022,Republican,1451.6,1102.3,38.9,62.7,50171.05,False,True
CD-02-03,2012,Republican,1832.0,583.6,52.9,63.0,37697.61,False,False
CD-02-03,2014,Democrat,513.2,432.3,59.4,65.5,42119.81,False,False
CD-02-03,2016,Democrat,504.0,1308.2,57.7,59.2,40012.22,True,False
CD-02-03,2018,Democrat,804.0,215.6,64.4,55.6,38858.85,False,False
CD-02-03,2020,Democrat,1767.8,1305.4,58.6,61.9,37232.46,False,True
CD-02-03,2022,Democrat,2051.9,1545.1,52.5,61.0,39239.92,True,True
CD-02-04,2012,Democrat,1007.6,1495.2,48.2,36.0,113409.22,False,False
CD-02-04,2014,Democrat,2015.0,1277.2,51.2,42.6,115491.28,False,False
CD-02-04,2016,Democrat,2472.1,247.0,44.2,41.0,124088.43,False,True
CD-02-04,2018,Democrat,1763.7,1376.1,46.1,39.4,125040.31,False,False
CD-02-04,2020,Democrat,925.6,884.7,45.2,40.0,123720.49,False,True
CD-02-04,2022,Democrat,540.7,1215.2,46.1,46.8,134193.29,False,False
CD-02-05,2012,Republican,2362.9,1459.8,37.8,65.3,111663.65,False,True
CD-02-05,2014,Republican,1646.6,373.2,33.3,65.1,112383.98,True,False
CD-02-05,2016,Republican,2131.5,318.0,44.0,66.6,118421.65,False,False
CD-02-05,2018,Republican,851.3,1408.9,40.2,68.1,118708.15,False,True
CD-02-05,2020,Republican,1663.5,349.3,42.6,61.4,129045.45,False,False
CD-02-05,2022,Republican,2291.5,867.4,38.7,66.4,136294.73,False,False
CD-02-06,2012,Republican,2258.1,332.4,51.1,58.9,60885.83,False,False
CD-02-06,2014,Republican,1002.7,564.1,44.6,53.1,65221.82,False,True
CD-02-06,2016,Democrat,508.8,203.1,49.1,52.1,64204.85,True,True
CD-02-06,2018,Democrat,1473.8,1128.2,62.9,54.8,67918.85,False,False
CD-02-06,2020,Republican,1415.7,1239.7,47.2,55.9,81128.22,False,False
CD-02-06,2022,Republican,760.9,907.2,39.5,55.4,76096.4,True,False
CD-02-07,2012,Republican,1120.4,557.6,65.5,35.3,100298.81,False,False
CD-02-07,2014,Democrat,1018.5,500.8,50.1,40.0,95809.45,False,False
CD-02-07,2016,Democrat,2428.8,698.4,41.8,37.3,105769.84,False,True
CD-02-07,2018,Democrat,1858.8,218.2,49.6,40.2,107607.56,False,False
CD-02-07,2020,Democrat,1081.8,1176.3,45.9,34.9,115287.37,False,False
CD-02-07,2022,Democrat,855.5,1103.0,45.9,37.4,119979.64,False,False
CD-02-08,2012,Democrat,1996.7,236.4,42.1,39.2,103245.69,False,True
CD-02-08,2014,Democrat,2370.0,961.7,40.5,31.0,112452.76,True,False
CD-02-08,2016,Democrat,807.6,1518.3,43.9,35.5,115645.21,False,False
CD-02-08,2018,Democrat,2006.7,464.7,45.7,34.7,119419.88,False,False
CD-02-08,2020,Republican,1937.3,472.0,67.8,38.4,123561.03,False,False
CD-02-08,2022,Democrat,873.8,1524.9,37.2,39.0,133134.77,False,True
CD-02-09,2012,Democrat,1741.6,1628.2,60.9,66.5,116560.69,True,False
CD-02-09,2014,Democrat,1787.7,1696.7,68.1,59.9,124485.24,False,False
CD-02-09,2016,Democrat,1148.5,1146.9,65.6,62.1,121984.39,False,True
CD-02-09,2018,Democrat,1644.0,989.0,64.1,64.6,133590.68,False,False
CD-02-09,2020,Democrat,824.5,737.0,66.6,67.2,136111.2,True,False
CD-02-09,2022,Democrat,1535.7,1204.3,63.2,63.9,138564.2,False,True
CD-03-01,2012,Democrat,696.7,971.5,59.3,58.0,66554.17,False,False
CD-03-01,2014,Democrat,1563.1,1516.3,59.3,54.5,72036.0,False,True
CD-03-01,2016,Republican,2099.3,1523.3,52.1,57.8,72931.54,False,False
CD-03-01,2018,Republican,1081.3,774.3,50.8,53.8,76193.97,False,False
CD-03-01,2020,Republican,542.1,1775.3,51.5,54.3,86958.57,False,False
CD-03-01,2022,Republican,1015.7,1554.5,41.5,53.1,83105.67,False,True
CD-03-02,2012,Republican,1246.2,532.9,60.2,43.8,91360.77,False,False
CD-03-02,2014,Republican,1509.8,1355.9,64.9,44.7,105363.26,False,False
CD-03-02,2016,Republican,463.3,471.0,52.1,40.5,98570.27,True,True
CD-03-02,2018,Republican,911.9,1401.6,65.1,43.0,108878.66,False,False
CD-03-02,2020,Republican,1177.4,347.5,62.1,42.5,109808.52,False,False
CD-03-02,2022,Democrat,2117.6,360.9,52.2,41.2,110647.01,False,False
CD-03-03,2012,Democrat,730.2,1157.6,40.9,38.6,88148.49,False,True
CD-03-03,2014,Democrat,2253.3,1313.5,44.6,37.8,89407.37,False,True
CD-03-03,2016,Democrat,2411.0,474.4,50.8,39.5,101463.6,False,False
CD-03-03,2018,Democrat,1159.0,796.3,49.3,43.1,99739.87,False,False
CD-03-03,2020,Democrat,415.2,1436.0,42.1,41.3,102151.69,False,False
CD-03-03,2022,Democrat,639.6,1251.8,46.0,41.8,109208.6,False,False
CD-03-04,2012,Republican,1263.3,1550.5,63.1,38.0,71377.21,False,False
CD-03-04,2014,Democrat,666.0,1295.0,38.4,34.3,72651.1,True,False
CD-03-04,2016,Democrat,798.9,400.6,45.0,38.0,75621.42,False,True
CD-03-04,2018,Democrat,614.7,881.9,46.7,39.9,78763.73,False,False
CD-03-04,2020,Democrat,1643.9,861.6,50.8,36.1,72659.44,False,False
CD-03-04,2022,Democrat,1929.0,1376.4,47.9,35.8,78582.74,False,False
CD-03-05,2012,Democrat,667.2,1274.9,65.5,65.5,112390.93,False,True
CD-03-05,2014,Democrat,1516.1,527.7,69.0,62.2,112606.39,False,False
CD-03-05,2016,Democrat,2417.8,642.2,68.3,65.1,116876.96,False,False
CD-03-05,2018,Republican,1252.6,1685.7,46.3,63.0,125753.75,False,False
CD-03-05,2020,Republican,2111.2,993.1,46.7,68.8,129320.08,False,True
CD-03-05,2022,Republican,1473.1,374.2,41.0,64.8,132317.44,False,True
CD-03-06,2012,Democrat,1990.0,1311.2,57.4,55.0,91703.42,False,False
CD-03-06,2014,Democrat,2088.8,446.4,54.2,59.2,92729.41,False,True
CD-03-06,2016,Democrat,2007.5,1062.0,58.2,60.1,94936.22,False,True
CD-03-06,2018,Republican,2083.7,1515.3,51.8,58.4,101489.89,False,False
CD-03-06,2020,Republican,1906.7,1377.3,48.9,56.2,101877.95,False,False
CD-03-06,2022,Republican,2188.1,223.7,52.1,54.7,104392.07,False,False
CD-03-07,2012,Republican,2121.2,1722.9,53.4,56.2,52511.13,False,False
CD-03-07,2014,Republican,1289.1,385.4,53.2,52.4,48134.49,False,False
CD-03-07,2016,Republican,1701.4,1118.4,58.9,51.8,53183.92,False,False
CD-03-07,2018,Republican,408.3,1219.5,38.1,53.3,57141.48,True,False
CD-03-07,2020,Republican,1182.6,1447.5,53.5,54.0,61862.32,False,False
CD-03-07,2022,Republican,1387.9,260.5,51.2,54.9,56569.19,False,False
CD-03-08,2012,Republican,2250.1,1583.2,57.9,49.9,105307.5,False,False
CD-03-08,2014,Republican,580.4,393.1,57.7,46.3,110844.33,False,False
CD-03-08,2016,Republican,1260.7,871.7,57.0,49.6,113074.36,False,False
CD-03-08,2018,Republican,601.1,1712.5,55.7,48.5,114746.88,False,False
CD-03-08,2020,Republican,863.1,748.1,52.7,53.0,119542.92,False,True
CD-03-08,2022,Republican,771.3,1067.6,58.5,52.5,127823.17,False,True
CD-03-09,2012,Republican,1037.1,322.5,43.2,55.3,70001.81,False,True
CD-03-09,2014,Democrat,794.7,404.0,56.9,54.0,73969.2,True,False
CD-03-09,2016,Democrat,2468.4,1697.7,57.4,59.2,79248.87,False,False
CD-03-09,2018,Democrat,1134.2,1069.0,62.0,60.5,77047.38,False,True
CD-03-09,2020,Democrat,1262.9,723.1,56.3,53.5,83514.44,False,True
CD-03-09,2022,Democrat,1351.8,1235.8,61.7,59.8,85401.39,False,False
CD-04-01,2012,Democrat,928.3,331.4,67.7,65.3,44014.3,False,True
CD-04-01,2014,Democrat,1391.0,1167.1,68.2,66.3,40771.13,False,False
CD-04-01,2016,Democrat,2440.5,1677.0,71.0,60.6,52397.95,False,False
CD-04-01,2018,Democrat,2136.0,922.9,65.7,66.7,45417.18,False,True
CD-04-01,2020,Republican,2262.9,304.4,38.8,64.8,49448.22,False,True
CD-04-01,2022,Republican,2469.8,1342.2,43.3,67.7,50722.78,False,True
CD-04-02,2012,Republican,487.3,930.3,47.4,67.5,64591.17,False,False
CD-04-02,2014,Republican,1634.3,1002.1,40.9,60.1,66349.85,False,True
CD-04-02,2016,Republican,502.3,263.8,42.0,62.3,66112.79,False,True
CD-04-02,2018,Republican,1622.7,1764.0,46.0,65.8,66911.65,False,False
CD-04-02,2020,Republican,2451.7,1107.7,49.5,62.8,69473.37,False,False
CD-04-02,2022,Republican,1828.8,1521.7,43.8,61.0,78878.65,False,True
CD-04-03,2012,Republican,2459.4,1577.9,57.0,55.3,88567.99,False,False
CD-04-03,2014,Republican,541.5,217.1,60.3,53.2,87568.85,False,False
CD-04-03,2016,Republican,2470.2,1394.6,53.2,49.1,89359.28,False,True
CD-04-03,2018,Republican,2333.9,209.6,51.8,50.9,88348.22,False,True
CD-04-03,2020,Republican,857.0,1537.7,53.2,49.5,96901.66,False,False
CD-04-03,2022,Democrat,902.3,719.2,57.7,53.4,101641.52,False,False
CD-04-04,2012,Republican,825.8,726.3,57.9,40.7,103326.47,False,False
CD-04-04,2014,Republican,1077.0,1111.3,56.3,45.7,97785.15,False,True
CD-04-04,2016,Republican,1894.2,1619.6,62.3,43.1,107002.77,False,False
CD-04-04,2018,Republican,2286.1,804.6,57.1,39.4,109819.02,False,True
CD-04-04,2020,Democrat,672.8,664.5,49.9,41.8,111597.23,False,False
CD-04-04,2022,Democrat,1204.4,1561.5,47.6,39.4,117500.6,False,False
CD-04-05,2012,Democrat,834.2,457.6,48.2,35.0,67727.4,False,True
CD-04-05,2014,Democrat,710.1,1388.1,50.0,41.3,66439.45,False,False
CD-04-05,2016,Democrat,1948.4,207.4,47.1,38.7,66758.08,False,True
CD-04-05,2018,Democrat,2482.4,1349.8,52.1,43.7,75450.51,False,False
CD-04-05,2020,Republican,1397.9,1233.8,59.1,43.9,79106.89,False,False
CD-04-05,2022,Republican,1251.3,1554.5,58.6,41.8,83098.58,False,False
CD-04-06,2012,Republican,2480.0,1559.2,66.0,46.7,80430.49,False,False
CD-04-06,2014,Republican,2207.5,906.5,52.6,47.5,81732.44,False,True
CD-04-06,2016,Republican,1482.6,617.0,63.3,42.6,88840.61,False,False
CD-04-06,2018,Democrat,2296.0,1696.0,47.9,47.4,93483.6,False,True
CD-04-06,2020,Democrat,1527.7,1029.1,51.8,44.6,94922.53,False,False
CD-04-06,2022,Democrat,2224.3,854.8,50.9,44.0,94482.74,False,False
CD-04-07,2012,Republican,1602.6,1452.9,60.7,41.9,98672.59,False,False
CD-04-07,2014,Republican,1848.7,1475.6,63.7,45.2,102394.72,False,False
CD-04-07,2016,Republican,543.3,1327.1,64.3,36.0,102744.05,False,False
CD-04-07,2018,Democrat,1127.4,1692.5,47.2,46.8,108383.64,False,False
CD-04-07,2020,Democrat,972.8,253.7,51.3,44.4,113143.16,False,False
CD-04-07,2022,Republican,2400.0,563.8,54.7,39.8,111097.8,False,False
CD-04-08,2012,Democrat,950.7,534.1,50.1,47.4,94475.08,False,False
CD-04-08,2014,Democrat,1676.8,894.1,53.5,46.0,99414.26,False,False
CD-04-08,2016,Democrat,1283.7,1382.0,43.4,48.2,104871.62,True,True
CD-04-08,2018,Democrat,1782.4,1113.2,46.5,52.2,109181.86,False,True
