viewer_id,day,battleground_state,minutes_tv_news,total_ads_seen,voting_intent,ads_candidate_A,ads_candidate_B
1,1,0,23,1,68.0,0,1
1,2,0,0,4,66.0,2,2
1,3,0,6,0,68.6,0,0
1,4,0,15,1,72.9,1,0
1,5,0,36,5,67.3,4,1
1,6,0,0,0,72.6,0,0
1,7,0,11,5,70.9,3,2
1,8,0,23,5,71.5,3,2
1,9,0,0,4,70.7,2,2
1,10,0,0,1,69.6,0,1
1,11,0,25,5,68.4,4,1
1,12,0,0,1,72.6,1,0
1,13,0,6,2,71.6,2,0
1,14,0,2,4,68.9,3,1
1,15,0,0,1,68.2,0,1
1,16,0,0,1,73.6,1,0
1,17,0,9,1,70.7,1,0
1,18,0,11,2,71.4,2,0
1,19,0,9,2,70.8,2,0
1,20,0,20,5,70.7,3,2
1,21,0,3,1,70.3,0,1
1,22,0,0,3,73.0,2,1
1,23,0,17,3,70.7,2,1
1,24,0,0,2,74.5,2,0
1,25,0,40,8,70.2,5,3
1,26,0,18,5,73.4,3,2
1,27,0,5,1,72.2,1,0
1,28,0,11,3,70.0,1,2
1,29,0,5,3,72.1,1,2
1,30,0,0,2,71.4,0,2
2,1,0,110,8,77.6,4,4
2,2,0,111,11,79.5,5,6
2,3,0,101,8,80.4,5,3
2,4,0,118,10,76.2,7,3
2,5,0,104,10,79.6,8,2
2,6,0,70,8,77.6,4,4
2,7,0,84,11,79.3,8,3
2,8,0,115,15,79.6,10,5
2,9,0,121,12,72.1,9,3
2,10,0,96,10,77.6,8,2
2,11,0,133,16,79.1,9,7
2,12,0,118,15,76.5,9,6
2,13,0,92,11,76.1,5,6
2,14,0,66,10,74.4,6,4
2,15,0,137,22,70.8,14,8
2,16,0,126,18,77.9,7,11
2,17,0,99,16,79.4,11,5
2,18,0,90,14,76.5,9,5
2,19,0,108,22,76.5,11,11
2,20,0,84,15,80.5,13,2
2,21,0,62,12,77.5,8,4
2,22,0,107,18,77.7,14,4
2,23,0,89,15,77.5,8,7
2,24,0,105,21,78.6,10,11
2,25,0,114,23,80.4,15,8
2,26,0,131,24,76.9,16,8
2,27,0,74,14,79.5,8,6
2,28,0,90,18,78.3,9,9
2,29,0,130,27,77.0,19,8
2,30,0,136,29,78.6,17,12
3,1,0,11,0,25.6,0,0
3,2,0,32,3,26.2,2,1
3,3,0,0,3,29.8,3,0
3,4,0,33,5,27.0,3,2
3,5,0,50,6,26.3,5,1
3,6,0,15,3,27.8,2,1
3,7,0,20,1,26.1,0,1
3,8,0,29,6,26.9,2,4
3,9,0,23,4,29.9,2,2
3,10,0,54,11,26.6,4,7
3,11,0,25,5,30.1,2,3
3,12,0,49,6,26.7,5,1
3,13,0,5,0,25.0,0,0
3,14,0,35,5,27.7,2,3
3,15,0,21,2,23.5,2,0
3,16,0,30,7,26.6,4,3
3,17,0,17,2,29.3,1,1
3,18,0,49,10,23.9,6,4
3,19,0,27,5,28.6,2,3
