voter_id,treatment,age_group,education,baseline_turnout_prob,treatment_effect,voted_2022
1,Phone Call,50-64,High School,0.68,0.08,1
2,Phone Call,50-64,Some College,0.68,0.08,0
3,Postcard,50-64,High School,0.68,0.05,1
4,Postcard,50-64,Graduate,0.68,0.05,1
5,Postcard,30-49,Some College,0.52,0.05,1
6,Phone Call,18-29,Some College,0.35,0.08,0
7,Personal Visit,65+,High School,0.74,0.12,1
8,Postcard,50-64,High School,0.68,0.05,1
9,Postcard,65+,Bachelor's,0.74,0.05,1
10,Control,30-49,High School,0.52,0,0
11,Personal Visit,30-49,Graduate,0.52,0.12,1
12,Postcard,18-29,Some College,0.35,0.05,0
13,Control,30-49,High School,0.52,0,0
14,Postcard,50-64,High School,0.68,0.05,1
15,Phone Call,65+,Some College,0.74,0.08,1
16,Phone Call,18-29,Some College,0.35,0.08,0
17,Personal Visit,30-49,Bachelor's,0.52,0.12,1
18,Control,50-64,High School,0.68,0,0
19,Phone Call,65+,High School,0.74,0.08,1
20,Control,18-29,High School,0.35,0,1
21,Control,50-64,High School,0.68,0,1
22,Control,30-49,Bachelor's,0.52,0,0
23,Postcard,65+,High School,0.74,0.05,1
24,Personal Visit,65+,Graduate,0.74,0.12,1
25,Control,18-29,High School,0.35,0,0
26,Phone Call,30-49,Bachelor's,0.52,0.08,0
27,Postcard,18-29,High School,0.35,0.05,0
28,Control,50-64,Some College,0.68,0,0
29,Phone Call,18-29,Graduate,0.35,0.08,0
30,Phone Call,18-29,Bachelor's,0.35,0.08,1
31,Personal Visit,65+,Graduate,0.74,0.12,1
32,Control,50-64,High School,0.68,0,1
33,Personal Visit,18-29,Some College,0.35,0.12,0
34,Postcard,30-49,Graduate,0.52,0.05,0
35,Control,65+,Bachelor's,0.74,0,1
36,Personal Visit,50-64,High School,0.68,0.12,1
37,Personal Visit,18-29,Graduate,0.35,0.12,1
38,Postcard,30-49,Some College,0.52,0.05,1
39,Personal Visit,18-29,High School,0.35,0.12,0
40,Personal Visit,65+,Bachelor's,0.74,0.12,1
41,Control,50-64,Bachelor's,0.68,0,1
42,Phone Call,50-64,Some College,0.68,0.08,1
43,Control,50-64,High School,0.68,0,0
44,Control,30-49,Some College,0.52,0,1
45,Control,65+,Bachelor's,0.74,0,1
46,Phone Call,30-49,Some College,0.52,0.08,0
47,Personal Visit,30-49,High School,0.52,0.12,1
48,Personal Visit,50-64,Some College,0.68,0.12,1
49,Control,30-49,Some College,0.52,0,0
50,Control,30-49,High School,0.52,0,1
51,Control,50-64,Some College,0.68,0,1
52,Personal Visit,30-49,Graduate,0.52,0.12,0
53,Personal Visit,30-49,High School,0.52,0.12,0
54,Personal Visit,50-64,Some College,0.68,0.12,1
55,Postcard,30-49,High School,0.52,0.05,1
56,Postcard,65+,Some College,0.74,0.05,1
57,Postcard,30-49,Bachelor's,0.52,0.05,0
58,Postcard,30-49,Graduate,0.52,0.05,1
59,Phone Call,50-64,Bachelor's,0.68,0.08,1
60,Postcard,65+,High School,0.74,0.05,1
61,Control,30-49,High School,0.52,0,0
62,Personal Visit,18-29,High School,0.35,0.12,0
63,Postcard,18-29,Some College,0.35,0.05,0
64,Phone Call,50-64,High School,0.68,0.08,1
65,Personal Visit,50-64,High School,0.68,0.12,1
66,Postcard,18-29,Bachelor's,0.35,0.05,1
67,Phone Call,30-49,High School,0.52,0.08,1
68,Phone Call,65+,Graduate,0.74,0.08,1
69,Phone Call,18-29,Some College,0.35,0.08,0
70,Phone Call,30-49,Bachelor's,0.52,0.08,1
71,Postcard,65+,Graduate,0.74,0.05,0
72,Postcard,30-49,Bachelor's,0.52,0.05,1
73,Personal Visit,30-49,Bachelor's,0.52,0.12,0
74,Postcard,65+,High School,0.74,0.05,0
75,Personal Visit,18-29,Some College,0.35,0.12,0
76,Phone Call,18-29,High School,0.35,0.08,0
77,Personal Visit,65+,Some College,0.74,0.12,1
78,Control,50-64,Graduate,0.68,0,0
79,Control,30-49,Some College,0.52,0,1
80,Control,50-64,Bachelor's,0.68,0,1
81,Phone Call,65+,Bachelor's,0.74,0.08,1
82,Control,65+,Some College,0.74,0,1
83,Phone Call,30-49,Bachelor's,0.52,0.08,0
84,Postcard,30-49,Bachelor's,0.52,0.05,1
85,Personal Visit,30-49,Bachelor's,0.52,0.12,0
86,Phone Call,30-49,Bachelor's,0.52,0.08,0
87,Postcard,50-64,Graduate,0.68,0.05,1
88,Control,50-64,High School,0.68,0,1
89,Control,18-29,Bachelor's,0.35,0,0
90,Control,65+,Bachelor's,0.74,0,0
91,Postcard,18-29,Some College,0.35,0.05,1
92,Personal Visit,30-49,High School,0.52,0.12,1
93,Personal Visit,30-49,Some College,0.52,0.12,0
94,Postcard,50-64,Some College,0.68,0.05,1
95,Personal Visit,30-49,Graduate,0.52,0.12,0
96,Control,65+,Some College,0.74,0,1
97,Control,18-29,Some College,0.35,0,0
98,Phone Call,30-49,Some College,0.52,0.08,0
99,Postcard,18-29,High School,0.35,0.05,1
100,Control,30-49,Graduate,0.52,0,1
101,Control,30-49,High School,0.52,0,1
102,Postcard,18-29,Some College,0.35,0.05,1
103,Postcard,18-29,Bachelor's,0.35,0.05,1
104,Postcard,30-49,Bachelor's,0.52,0.05,0
105,Control,30-49,Bachelor's,0.52,0,0
106,Personal Visit,50-64,High School,0.68,0.12,1
107,Phone Call,65+,Some College,0.74,0.08,1
108,Phone Call,30-49,Some College,0.52,0.08,1
109,Control,30-49,Some College,0.52,0,0
110,Control,65+,High School,0.74,0,1
111,Phone Call,30-49,Graduate,0.52,0.08,0
112,Phone Call,30-49,Some College,0.52,0.08,0
113,Postcard,30-49,Some College,0.52,0.05,0
114,Personal Visit,65+,High School,0.74,0.12,0
115,Control,65+,Some College,0.74,0,0
116,Control,50-64,Bachelor's,0.68,0,1
117,Personal Visit,50-64,Graduate,0.68,0.12,1
118,Personal Visit,50-64,Bachelor's,0.68,0.12,0
119,Control,50-64,Bachelor's,0.68,0,1
120,Control,50-64,Some College,0.68,0,0
121,Phone Call,18-29,Some College,0.35,0.08,0
122,Personal Visit,50-64,Bachelor's,0.68,0.12,1
123,Control,65+,High School,0.74,0,0
124,Phone Call,30-49,Graduate,0.52,0.08,0
125,Control,30-49,Some College,0.52,0,1
126,Personal Visit,50-64,High School,0.68,0.12,0
127,Postcard,30-49,Some College,0.52,0.05,1
128,Phone Call,50-64,Graduate,0.68,0.08,1
129,Postcard,18-29,Some College,0.35,0.05,0
130,Phone Call,30-49,High School,0.52,0.08,1
131,Phone Call,18-29,Some College,0.35,0.08,1
132,Personal Visit,30-49,Bachelor's,0.52,0.12,1
133,Control,18-29,Some College,0.35,0,0
134,Postcard,30-49,Bachelor's,0.52,0.05,1
135,Postcard,18-29,Some College,0.35,0.05,0
136,Control,18-29,Graduate,0.35,0,0
137,Personal Visit,50-64,Bachelor's,0.68,0.12,0
138,Control,30-49,High School,0.52,0,1
139,Control,30-49,Graduate,0.52,0,0
140,Postcard,65+,Some College,0.74,0.05,1
141,Postcard,30-49,Some College,0.52,0.05,1
142,Phone Call,18-29,High School,0.35,0.08,1
143,Control,30-49,Bachelor's,0.52,0,0
144,Phone Call,18-29,Some College,0.35,0.08,0
145,Phone Call,65+,Some College,0.74,0.08,1
146,Personal Visit,18-29,High School,0.35,0.12,0
147,Personal Visit,30-49,Graduate,0.52,0.12,0
148,Control,65+,Some College,0.74,0,1
149,Postcard,50-64,Some College,0.68,0.05,1
150,Phone Call,50-64,Some College,0.68,0.08,1
151,Personal Visit,65+,Bachelor's,0.74,0.12,1
152,Personal Visit,30-49,Graduate,0.52,0.12,0
153,Postcard,50-64,Bachelor's,0.68,0.05,1
154,Phone Call,50-64,High School,0.68,0.08,1
155,Phone Call,18-29,Bachelor's,0.35,0.08,1
156,Postcard,18-29,High School,0.35,0.05,0
157,Control,18-29,High School,0.35,0,1
158,Personal Visit,50-64,Bachelor's,0.68,0.12,1
159,Personal Visit,30-49,Some College,0.52,0.12,1
160,Control,50-64,Some College,0.68,0,1
161,Postcard,18-29,Bachelor's,0.35,0.05,1
162,Personal Visit,30-49,Some College,0.52,0.12,1
163,Personal Visit,65+,Some College,0.74,0.12,1
164,Postcard,50-64,High School,0.68,0.05,0
165,Control,18-29,Some College,0.35,0,0
166,Control,50-64,Some College,0.68,0,1
167,Postcard,50-64,Some College,0.68,0.05,1
168,Personal Visit,30-49,Some College,0.52,0.12,1
169,Personal Visit,18-29,Some College,0.35,0.12,1
170,Phone Call,30-49,Some College,0.52,0.08,0
171,Personal Visit,50-64,High School,0.68,0.12,1
172,Postcard,18-29,Graduate,0.35,0.05,0
173,Control,65+,High School,0.74,0,1
174,Control,30-49,Some College,0.52,0,1
175,Postcard,50-64,Some College,0.68,0.05,1
176,Control,18-29,Some College,0.35,0,1
177,Phone Call,50-64,Graduate,0.68,0.08,1
178,Phone Call,50-64,Bachelor's,0.68,0.08,1
179,Control,65+,Some College,0.74,0,1
180,Control,30-49,High School,0.52,0,1
181,Personal Visit,18-29,Bachelor's,0.35,0.12,0
182,Personal Visit,50-64,Bachelor's,0.68,0.12,1
183,Control,50-64,Graduate,0.68,0,1
184,Personal Visit,18-29,Bachelor's,0.35,0.12,0
185,Personal Visit,18-29,Graduate,0.35,0.12,0
186,Personal Visit,65+,High School,0.74,0.12,1
187,Control,30-49,Some College,0.52,0,1
188,Control,50-64,High School,0.68,0,1
189,Control,50-64,Bachelor's,0.68,0,1
190,Control,50-64,Graduate,0.68,0,1
191,Phone Call,50-64,Bachelor's,0.68,0.08,1
192,Postcard,18-29,Bachelor's,0.35,0.05,1
193,Personal Visit,50-64,Graduate,0.68,0.12,1
194,Postcard,50-64,Graduate,0.68,0.05,1
195,Phone Call,18-29,High School,0.35,0.08,0
196,Personal Visit,18-29,Some College,0.35,0.12,1
197,Postcard,50-64,Bachelor's,0.68,0.05,1
198,Phone Call,18-29,High School,0.35,0.08,1
199,Postcard,18-29,Bachelor's,0.35,0.05,1
200,Postcard,30-49,Bachelor's,0.52,0.05,0
201,Postcard,30-49,High School,0.52,0.05,1
202,Personal Visit,18-29,Bachelor's,0.35,0.12,0
203,Personal Visit,18-29,Bachelor's,0.35,0.12,1
204,Phone Call,65+,Some College,0.74,0.08,1
205,Personal Visit,30-49,Bachelor's,0.52,0.12,1
206,Phone Call,50-64,Some College,0.68,0.08,1
207,Control,18-29,Some College,0.35,0,0
208,Phone Call,18-29,High School,0.35,0.08,0
209,Control,18-29,Some College,0.35,0,0
210,Personal Visit,30-49,Bachelor's,0.52,0.12,1
211,Phone Call,30-49,High School,0.52,0.08,1
212,Control,50-64,High School,0.68,0,1
213,Personal Visit,30-49,High School,0.52,0.12,1
214,Postcard,50-64,Some College,0.68,0.05,1
215,Personal Visit,18-29,High School,0.35,0.12,1
216,Postcard,30-49,Bachelor's,0.52,0.05,0
217,Phone Call,50-64,Bachelor's,0.68,0.08,1
218,Control,18-29,High School,0.35,0,0
219,Control,30-49,Bachelor's,0.52,0,1
220,Postcard,30-49,High School,0.52,0.05,1
221,Phone Call,50-64,Some College,0.68,0.08,0
222,Postcard,18-29,Some College,0.35,0.05,1
223,Phone Call,65+,High School,0.74,0.08,1
224,Postcard,65+,Graduate,0.74,0.05,0
225,Phone Call,65+,Some College,0.74,0.08,0
226,Phone Call,65+,High School,0.74,0.08,1
227,Personal Visit,18-29,Some College,0.35,0.12,0
228,Personal Visit,50-64,High School,0.68,0.12,1
229,Postcard,65+,Some College,0.74,0.05,1
230,Postcard,30-49,Bachelor's,0.52,0.05,1
231,Postcard,65+,High School,0.74,0.05,1
232,Postcard,18-29,Some College,0.35,0.05,0
233,Postcard,65+,Bachelor's,0.74,0.05,1
234,Control,65+,Some College,0.74,0,0
235,Phone Call,30-49,Bachelor's,0.52,0.08,0
236,Postcard,65+,Some College,0.74,0.05,0
237,Personal Visit,30-49,High School,0.52,0.12,0
238,Phone Call,30-49,High School,0.52,0.08,1
239,Phone Call,30-49,High School,0.52,0.08,1
240,Phone Call,30-49,Some College,0.52,0.08,0
241,Control,18-29,Some College,0.35,0,1
242,Phone Call,30-49,Graduate,0.52,0.08,0
243,Postcard,65+,Some College,0.74,0.05,1
244,Phone Call,30-49,Some College,0.52,0.08,1
245,Personal Visit,18-29,Graduate,0.35,0.12,1
246,Control,50-64,Some College,0.68,0,1
247,Postcard,30-49,High School,0.52,0.05,0
248,Control,50-64,Some College,0.68,0,1
249,Control,30-49,Some College,0.52,0,0
250,Personal Visit,18-29,Graduate,0.35,0.12,1
251,Phone Call,18-29,High School,0.35,0.08,0
252,Personal Visit,30-49,Bachelor's,0.52,0.12,0
253,Phone Call,18-29,High School,0.35,0.08,0
254,Postcard,30-49,Some College,0.52,0.05,0
255,Personal Visit,50-64,High School,0.68,0.12,0
256,Personal Visit,65+,Graduate,0.74,0.12,0
257,Postcard,30-49,Bachelor's,0.52,0.05,1
258,Personal Visit,50-64,Some College,0.68,0.12,0
259,Postcard,30-49,High School,0.52,0.05,1
260,Personal Visit,18-29,Graduate,0.35,0.12,1
261,Control,30-49,High School,0.52,0,0
262,Postcard,30-49,High School,0.52,0.05,0
263,Personal Visit,30-49,High School,0.52,0.12,0
264,Control,30-49,Some College,0.52,0,1
265,Personal Visit,30-49,High School,0.52,0.12,1
266,Personal Visit,30-49,High School,0.52,0.12,1
267,Phone Call,30-49,Some College,0.52,0.08,1
268,Personal Visit,18-29,Graduate,0.35,0.12,1
269,Postcard,30-49,High School,0.52,0.05,1
270,Phone Call,18-29,Some College,0.35,0.08,0
271,Personal Visit,30-49,Graduate,0.52,0.12,1
272,Phone Call,65+,Graduate,0.74,0.08,1
273,Postcard,50-64,High School,0.68,0.05,1
274,Postcard,18-29,Some College,0.35,0.05,1
275,Personal Visit,65+,Some College,0.74,0.12,1
276,Postcard,18-29,Bachelor's,0.35,0.05,0
277,Control,30-49,High School,0.52,0,1
278,Phone Call,30-49,Bachelor's,0.52,0.08,1
279,Personal Visit,50-64,High School,0.68,0.12,1
280,Postcard,50-64,Some College,0.68,0.05,1
281,Control,30-49,Bachelor's,0.52,0,1
282,Personal Visit,65+,Bachelor's,0.74,0.12,1
283,Personal Visit,18-29,High School,0.35,0.12,1
284,Phone Call,30-49,Bachelor's,0.52,0.08,1
285,Phone Call,65+,Graduate,0.74,0.08,1
286,Phone Call,65+,Graduate,0.74,0.08,1
287,Personal Visit,30-49,High School,0.52,0.12,1
288,Phone Call,30-49,Some College,0.52,0.08,1
289,Control,30-49,Bachelor's,0.52,0,0
290,Control,50-64,Graduate,0.68,0,1
291,Postcard,50-64,Some College,0.68,0.05,1
292,Control,18-29,High School,0.35,0,0
293,Phone Call,18-29,Bachelor's,0.35,0.08,1
294,Postcard,50-64,Some College,0.68,0.05,0
295,Personal Visit,30-49,Some College,0.52,0.12,1
296,Control,30-49,Some College,0.52,0,0
297,Phone Call,30-49,Some College,0.52,0.08,0
298,Personal Visit,30-49,Some College,0.52,0.12,0
299,Phone Call,30-49,Bachelor's,0.52,0.08,0
300,Phone Call,30-49,High School,0.52,0.08,1
301,Personal Visit,30-49,Some College,0.52,0.12,1
302,Control,65+,Graduate,0.74,0,1
303,Control,30-49,High School,0.52,0,1
304,Phone Call,18-29,High School,0.35,0.08,0
305,Control,30-49,Bachelor's,0.52,0,1
306,Phone Call,50-64,High School,0.68,0.08,1
307,Phone Call,30-49,High School,0.52,0.08,1
308,Postcard,30-49,Bachelor's,0.52,0.05,1
309,Control,50-64,High School,0.68,0,1
310,Phone Call,65+,Some College,0.74,0.08,1
311,Phone Call,18-29,High School,0.35,0.08,0
312,Phone Call,30-49,Graduate,0.52,0.08,1
313,Personal Visit,18-29,High School,0.35,0.12,0
314,Postcard,30-49,Graduate,0.52,0.05,0
