"","studentid","term","year","midterm"
"1",291052,"Fall",2019,98.38
"2",226300,"Winter",2015,61.81
"3",265541,"Spring",2019,83.69
"4",213943,"Summer",2022,74.3
"5",296180,"Fall",2020,82.8
"6",299659,"Winter",2014,80.25
"7",253749,"Spring",2014,83.82
"8",216265,"Summer",2017,79.07
"9",237141,"Fall",2018,109.7
"10",274426,"Winter",2013,93.09
"11",219583,"Spring",2020,81.43
"12",200587,"Summer",2014,71.76
"13",277498,"Fall",2020,83.24
"14",224015,"Winter",2013,67.2
"15",208007,"Spring",2018,84.04
"16",242734,"Summer",2016,85.28
"17",272437,"Fall",2015,72.26
"18",286940,"Winter",2019,73.5
"19",232964,"Spring",2012,82.76
"20",229243,"Summer",2017,96.1
"21",228333,"Fall",2013,80.65
"22",292451,"Winter",2019,64.04
"23",288300,"Spring",2015,64.75
"24",221235,"Summer",2021,87.58
"25",244487,"Fall",2021,79.22
"26",270808,"Winter",2018,63.58
"27",227692,"Spring",2017,61.63
"28",295330,"Summer",2017,81.73
"29",275948,"Fall",2015,89.88
"30",221073,"Winter",2015,69.05
"31",263493,"Spring",2020,82.25
"32",232028,"Summer",2020,69.15
"33",232548,"Fall",2022,84.43
"34",232894,"Winter",2013,66.58
"35",245319,"Spring",2018,65.48
"36",259511,"Summer",2013,69.55
"37",251963,"Fall",2013,73.64
"38",214167,"Winter",2012,77.9
"39",201828,"Spring",2017,77.95
"40",255724,"Summer",2013,78.98
"41",242168,"Fall",2018,70.02
"42",264725,"Winter",2020,80.59
"43",216034,"Spring",2020,91.57
"44",222069,"Summer",2022,79.66
"45",238527,"Fall",2021,77.13
"46",212130,"Winter",2018,68.6
"47",294651,"Spring",2012,90.59
"48",231673,"Summer",2017,89.26
"49",267956,"Fall",2014,89.62
"50",253501,"Winter",2013,74.59
"51",271676,"Spring",2017,85.48
"52",252257,"Summer",2017,70.28
"53",237648,"Fall",2022,67.95
"54",282394,"Winter",2016,69.12
"55",261796,"Spring",2018,88.52
"56",259659,"Summer",2016,79.14
"57",253830,"Fall",2012,76.37
"58",254325,"Winter",2020,66.53
"59",224791,"Spring",2019,81.46
"60",217731,"Summer",2019,73.43
"61",229260,"Fall",2014,68.44
"62",290582,"Winter",2018,85.72
"63",269795,"Spring",2016,77.12
"64",284466,"Summer",2021,84.25
"65",292447,"Fall",2017,75.32
"66",217476,"Winter",2016,79.18
"67",267121,"Spring",2014,71.97
"68",212959,"Summer",2016,101.69
"69",209189,"Fall",2022,91.87
"70",251291,"Winter",2018,60.99
"71",245305,"Spring",2022,79.69
"72",212311,"Summer",2017,68.22
"73",219302,"Fall",2016,82.61
"74",253405,"Winter",2019,58.67
"75",284089,"Spring",2020,78.55
"76",208858,"Summer",2018,58.81
"77",230867,"Fall",2014,87.17
"78",271972,"Winter",2020,72.86
"79",292468,"Spring",2020,97
"80",279598,"Summer",2019,91.25
"81",283277,"Fall",2017,75.38
"82",200903,"Winter",2021,81.19
"83",203248,"Spring",2019,62.7
"84",257820,"Summer",2016,70.66
"85",245377,"Fall",2013,81.78
"86",248231,"Winter",2015,79.24
"87",269472,"Spring",2012,73.28
"88",270479,"Summer",2013,75.99
"89",219618,"Fall",2015,85.47
"90",201092,"Winter",2019,70.93
"91",273872,"Spring",2020,67.64
"92",290489,"Summer",2019,95.93
"93",226785,"Fall",2016,88.57
"94",216084,"Winter",2018,54.5
"95",269714,"Spring",2015,64.79
"96",280218,"Summer",2013,81.54
"97",222842,"Fall",2014,73.95
"98",260168,"Winter",2019,83.94
"99",213377,"Spring",2020,85.05
"100",234885,"Summer",2017,97.8
"101",278827,"Fall",2016,92.07
"102",266996,"Winter",2022,70.92
"103",236970,"Spring",2021,64.21
"104",259425,"Summer",2020,90.51
"105",214345,"Fall",2021,95.44
"106",289648,"Winter",2013,81.08
"107",271880,"Spring",2016,78.42
"108",274734,"Summer",2015,77.96
"109",248378,"Fall",2016,73.05
"110",200111,"Winter",2016,60.39
"111",280701,"Spring",2021,82.13
"112",227408,"Summer",2017,82.01
"113",277358,"Fall",2019,84.06
"114",280719,"Winter",2021,77.79
"115",297041,"Spring",2020,75.09
"116",242034,"Summer",2013,76.74
"117",249773,"Fall",2019,88.33
"118",284372,"Winter",2016,52.03
"119",225248,"Spring",2016,73.29
"120",292278,"Summer",2014,89.61
"121",213043,"Fall",2016,80.75
"122",256945,"Winter",2020,84.98
"123",260137,"Spring",2016,75.26
"124",213570,"Summer",2020,78.74
"125",225161,"Fall",2013,83.88
"126",278455,"Winter",2017,70.84
"127",201005,"Spring",2020,74.28
"128",209591,"Summer",2016,69.69
"129",286759,"Fall",2018,72.02
"130",238672,"Winter",2019,89.52
"131",218599,"Spring",2020,77.88
"132",291332,"Summer",2021,72.78
"133",294611,"Fall",2012,78.43
"134",263524,"Winter",2017,72.57
"135",226193,"Spring",2021,71.97
"136",271046,"Summer",2014,67.81
"137",279145,"Fall",2015,76.36
"138",211281,"Winter",2021,76.04
"139",244107,"Spring",2018,85.65
"140",209879,"Summer",2013,82.61
"141",212436,"Fall",2019,78.74
"142",240259,"Winter",2016,77.31
"143",297943,"Spring",2013,89.89
"144",259612,"Summer",2014,83.65
"145",204189,"Fall",2021,79.81
"146",230685,"Winter",2016,61.76
"147",284649,"Spring",2022,76.6
"148",271453,"Summer",2020,74.85
"149",247558,"Fall",2017,85.47
"150",216800,"Winter",2014,66.66
"151",224265,"Spring",2017,72.3
"152",206754,"Summer",2018,79.06
"153",287630,"Fall",2020,75.53
"154",204991,"Winter",2021,70.55
"155",289303,"Spring",2014,73.54
"156",255542,"Summer",2016,82.23
"157",265313,"Fall",2013,91.47
"158",265936,"Winter",2019,69.32
"159",273397,"Spring",2015,58.2
"160",239022,"Summer",2020,94.92
"161",275469,"Fall",2016,71.46
"162",212560,"Winter",2013,85.56
"163",225629,"Spring",2016,68.93
"164",239633,"Summer",2017,75.31
"165",261672,"Fall",2014,85.42
"166",209165,"Winter",2018,75.46
"167",205382,"Spring",2018,75.51
"168",224143,"Summer",2014,79.79
"169",225877,"Fall",2014,85.89
"170",233501,"Winter",2014,79.6
"171",219870,"Spring",2020,74.33
"172",287794,"Summer",2015,59.51
"173",260786,"Fall",2017,80.5
"174",215002,"Winter",2013,91.44
"175",298807,"Spring",2016,56.37
"176",213812,"Summer",2013,80.26
"177",245762,"Fall",2017,95.67
"178",243947,"Winter",2015,87.24
"179",254669,"Spring",2017,83.95
"180",253222,"Summer",2017,87.26
"181",295797,"Fall",2016,63.22
"182",260405,"Winter",2015,65.41
"183",235131,"Spring",2013,83.31
"184",265807,"Summer",2021,73.25
"185",283248,"Fall",2013,92.51
"186",209816,"Winter",2017,86.98
"187",247583,"Spring",2012,81.92
"188",252110,"Summer",2021,68.78
"189",286712,"Fall",2014,67.36
"190",254898,"Winter",2016,81.59
"191",206807,"Spring",2013,66.94
"192",281703,"Summer",2014,75.55
"193",299716,"Fall",2016,85.36
"194",222766,"Winter",2019,62.33
"195",297751,"Spring",2018,69.37
"196",275538,"Summer",2021,70.78
"197",267267,"Fall",2014,88.15
"198",224292,"Winter",2018,72.78
"199",250796,"Spring",2013,85.74
"200",200513,"Summer",2019,85.38
"201",274186,"Fall",2012,81.51
"202",245701,"Winter",2018,63.15
"203",250437,"Spring",2019,81.87
"204",211029,"Summer",2017,68.34
"205",262895,"Fall",2020,98.81
"206",257893,"Winter",2012,77.74
"207",256379,"Spring",2013,40.96
"208",258848,"Summer",2020,70.79
"209",222550,"Fall",2016,83.51
"210",265004,"Winter",2020,71.24
"211",211029,"Spring",2017,84.72
"212",273426,"Summer",2022,79.26
"213",209477,"Fall",2014,72.78
"214",247874,"Winter",2013,81.61
"215",214856,"Spring",2021,81.83
"216",269487,"Summer",2012,78.65
"217",246488,"Fall",2015,90.37
"218",263860,"Winter",2015,62.56
"219",256608,"Spring",2014,81.31
"220",276399,"Summer",2013,70.98
"221",260814,"Fall",2019,100.1
"222",225182,"Winter",2021,88.2
"223",241805,"Spring",2015,79.67
"224",218298,"Summer",2019,78.75
"225",275084,"Fall",2014,73.73
"226",225035,"Winter",2020,72.97
"227",296660,"Spring",2017,64.16
"228",249619,"Summer",2020,61.8
"229",202721,"Fall",2016,77.44
"230",213252,"Winter",2018,70.45
"231",265476,"Spring",2016,66.26
"232",255362,"Summer",2015,62.45
"233",237074,"Fall",2021,71.05
"234",213053,"Winter",2018,56.43
"235",205176,"Spring",2016,73.37
"236",242073,"Summer",2013,95.64
"237",239601,"Fall",2021,60.21
"238",258133,"Winter",2019,77.15
"239",216070,"Spring",2013,81.4
"240",230285,"Summer",2021,83.88
"241",214922,"Fall",2020,73.08
"242",249421,"Winter",2019,88.6
"243",256933,"Spring",2021,68.56
"244",227418,"Summer",2017,63.16
"245",295757,"Fall",2012,59.97
"246",245501,"Winter",2021,81.05
"247",207541,"Spring",2016,93.17
"248",211119,"Summer",2016,62.11
"249",222563,"Fall",2021,91.14
"250",223954,"Winter",2016,72.95
"251",270774,"Spring",2017,78.66
"252",292246,"Summer",2014,95.9
"253",219222,"Fall",2022,86.54
"254",219277,"Winter",2014,76.28
"255",229115,"Spring",2018,84.89
"256",219081,"Summer",2020,71.74
"257",294842,"Fall",2021,90.7
"258",222844,"Winter",2020,63.89
"259",252698,"Spring",2015,85.93
"260",290057,"Summer",2017,80.69
"261",257666,"Fall",2018,87.41
"262",280260,"Winter",2017,92.17
"263",245249,"Spring",2013,91.14
"264",202249,"Summer",2021,70.11
"265",298527,"Fall",2013,81.45
"266",287970,"Winter",2016,81.21
"267",247349,"Spring",2016,87.57
"268",299677,"Summer",2018,79.66
"269",235940,"Fall",2019,97.1
"270",236740,"Winter",2022,77.37
"271",247222,"Spring",2015,80.39
"272",284534,"Summer",2018,73.43
"273",202376,"Fall",2015,79.01
"274",258907,"Winter",2020,72.8
"275",261640,"Spring",2018,71.46
"276",268126,"Summer",2021,84.24
"277",253035,"Fall",2018,91.32
"278",284262,"Winter",2014,58.83
"279",261185,"Spring",2019,74.04
"280",227123,"Summer",2019,66.82
"281",242393,"Fall",2019,74.5
"282",295175,"Winter",2012,67.26
"283",284641,"Spring",2013,74.23
"284",233109,"Summer",2018,68.86
"285",237014,"Fall",2013,86.71
"286",223349,"Winter",2018,78.23
"287",281376,"Spring",2018,85.2
"288",229675,"Summer",2017,75.22
"289",262599,"Fall",2013,79.38
"290",272749,"Winter",2013,68.51
"291",245936,"Spring",2013,71.2
"292",220811,"Summer",2019,70.76
"293",211139,"Fall",2014,94.41
"294",239384,"Winter",2016,68.55
"295",224844,"Spring",2019,71.47
"296",256605,"Summer",2017,99.98
"297",214611,"Fall",2017,90.27
"298",224915,"Winter",2016,53.21
"299",203233,"Spring",2019,59.32
"300",269421,"Summer",2019,89.71
"301",266790,"Fall",2021,75.34
"302",287968,"Winter",2019,68.83
"303",292445,"Spring",2015,79.75
"304",264386,"Summer",2016,69.81
"305",289226,"Fall",2020,98.71
"306",299369,"Winter",2017,71.14
"307",248722,"Spring",2020,86.53
"308",261718,"Summer",2020,94.38
"309",231572,"Fall",2017,81.11
"310",246787,"Winter",2020,57.36
"311",286171,"Spring",2020,64.5
"312",283019,"Summer",2021,90.34
"313",270689,"Fall",2014,71.47
"314",213993,"Winter",2017,70.37
"315",292695,"Spring",2017,75.83
"316",290372,"Summer",2015,59.9
"317",225695,"Fall",2017,88.11
"318",215032,"Winter",2016,79.4
"319",200991,"Spring",2020,87.05
"320",219611,"Summer",2015,83.26
"321",218294,"Fall",2019,88.08
"322",271570,"Winter",2018,78.18
"323",220956,"Spring",2012,96.34
"324",290900,"Summer",2013,60.45
"325",264468,"Fall",2017,86.53
"326",276382,"Winter",2015,78.55
"327",253089,"Spring",2019,64
"328",278535,"Summer",2014,89.96
"329",275287,"Fall",2020,83.54
"330",283954,"Winter",2017,75.71
"331",226217,"Spring",2017,73.22
"332",263813,"Summer",2016,79.1
"333",200705,"Fall",2014,83.53
"334",235999,"Winter",2021,65.29
"335",259508,"Spring",2013,70.54
"336",215593,"Summer",2018,60.69
"337",202862,"Fall",2018,68.25
"338",209933,"Winter",2012,58.09
"339",237204,"Spring",2017,88.41
"340",264178,"Summer",2019,78.12
"341",214592,"Fall",2016,80.84
"342",286922,"Winter",2014,73.32
"343",217989,"Spring",2019,76.9
"344",254435,"Summer",2019,79.97
"345",200844,"Fall",2014,75.22
"346",269568,"Winter",2017,84.23
"347",220428,"Spring",2021,77.84
"348",273446,"Summer",2018,95.21
"349",265788,"Fall",2021,103.5
"350",215241,"Winter",2013,75.37
"351",280863,"Spring",2013,85.15
"352",251071,"Summer",2014,69.75
"353",238170,"Fall",2012,79.25
"354",220651,"Winter",2015,75.51
"355",216857,"Spring",2017,80.62
"356",280800,"Summer",2015,68.19
"357",277637,"Fall",2020,72.35
"358",200285,"Winter",2019,58.02
"359",214807,"Spring",2012,68.53
"360",275254,"Summer",2015,86.2
"361",209446,"Fall",2017,69.45
"362",291824,"Winter",2016,63.21
"363",209073,"Spring",2013,86.46
"364",232038,"Summer",2014,78.22
"365",208543,"Fall",2017,77.04
"366",290448,"Winter",2019,57.97
"367",269992,"Spring",2013,80.97
"368",245818,"Summer",2017,75.56
"369",211388,"Fall",2016,80.56
"370",298760,"Winter",2022,55.63
"371",293071,"Spring",2018,86.89
