respondent_id,education_level,income_category,media_trust,political_efficacy,trust_base,political_trust_scale
1,High School,Middle,2.4974280651658773,1.0662629129365087,2.135321714299794,2.135321714299794
2,High School,High,4.63143914565444,4.000427995808423,6.354419677162341,5
3,Some College,Middle,3.401799591258168,4.163526587188244,3.4356145546285575,3.4356145546285575
4,Graduate,Low,3.4506911458447576,1.5173880830407143,4.634987085434144,4.634987085434144
5,High School,High,3.153655530884862,4.880249962210655,4.230257890125141,4.230257890125141
6,Some College,High,3.225292766466737,3.3051802767440677,4.258748655847376,4.258748655847376
7,Bachelor's,Low,4.764402208849788,1.844978716224432,3.8009519312158035,3.8009519312158035
8,High School,Low,3.6207084208726883,4.716336180455983,4.357000247065345,4.357000247065345
9,High School,Middle,1.606405551545322,2.3871143218129873,3.3210769101644937,3.3210769101644937
10,Some College,High,2.6488499296829104,2.481178750284016,3.08022651082679,3.08022651082679
11,Some College,High,2.2116253934800625,2.059366574510932,3.911022425858616,3.911022425858616
12,Some College,High,1.004844113253057,4.538369887508452,5.211536433878412,5
13,High School,High,2.6729209972545505,3.009811577387154,3.7890075343355614,3.7890075343355614
14,Graduate,Middle,2.4684303449466825,1.5265084812417626,5.322100706867536,5
15,Some College,Middle,4.765329526737332,1.3429107684642076,4.640093588436614,4.640093588436614
16,Some College,Low,4.036490038968623,1.5195324020460248,1.5578710174097417,1.5578710174097417
17,High School,Middle,1.898523242212832,3.890920859761536,3.2485391549884324,3.2485391549884324
18,Graduate,Middle,3.9234750596806407,3.569658518768847,5.385819875661318,5
19,Graduate,High,2.08936907351017,1.0105364732444286,5.09490996743158,5
20,Bachelor's,Low,3.470486651174724,4.345495352521539,4.735118871806025,4.735118871806025
21,High School,Middle,3.5692609064280987,4.154008080251515,3.4743556106794737,3.4743556106794737
22,Some College,Low,3.477595517411828,4.971667777746916,4.998346276867503,4.998346276867503
23,Graduate,Middle,1.5820241002365947,4.7280368423089385,4.410725906137846,4.410725906137846
24,Bachelor's,Middle,2.7386837592348456,1.8807581840083003,3.679917842875348,3.679917842875348
25,Graduate,Low,1.566938248462975,2.855432200245559,2.552271531833708,2.552271531833708
26,High School,Low,2.0310594150796533,3.3096777154132724,2.233088796519068,2.233088796519068
27,Bachelor's,Low,3.6462127594277263,3.6460748771205544,3.3147671978613866,3.3147671978613866
28,High School,High,1.0645497934892774,3.902812690474093,4.101207973357025,4.101207973357025
29,Bachelor's,Low,2.3562044128775597,1.9075591964647174,2.4736317412753475,2.4736317412753475
30,Graduate,High,2.3370876209810376,4.392541648820043,5.84709158882266,5
31,Bachelor's,Low,2.3013713592663407,2.587174229323864,2.616903337633993,2.616903337633993
32,Some College,Low,1.533775221556425,3.8527778182178736,2.2486922335375397,2.2486922335375397
33,High School,Low,3.665124824270606,1.604823686182499,1.8321871852015068,1.8321871852015068
34,High School,Middle,3.5030042799189687,3.615211040712893,4.816198636161694,4.816198636161694
35,Bachelor's,Middle,3.7241567336022854,2.6086735036224127,4.283347782555985,4.283347782555985
36,High School,Middle,3.144058366306126,2.03865341283381,3.4530189498586337,3.4530189498586337
37,High School,Low,1.18473806604743,2.1171539817005396,4.050738988257593,4.050738988257593
38,Bachelor's,Middle,2.9068621629849076,4.18034328147769,4.699619724979703,4.699619724979703
39,Graduate,High,3.078775802627206,1.7254427392035723,3.0172395283722553,3.0172395283722553
40,Some College,Middle,1.78490449488163,3.2637360524386168,4.280547551381699,4.280547551381699
41,Graduate,Middle,2.9810584662482142,2.237888024188578,4.1626037215651195,4.1626037215651195
42,Some College,Middle,1.7128650564700365,4.236246781423688,4.499840206488211,4.499840206488211
43,High School,Middle,3.3110709534958005,4.348209992982447,3.8805456082594496,3.8805456082594496
44,Some College,Low,4.9389699045568705,3.7252415865659714,4.6767667243756765,4.6767667243756765
45,Bachelor's,High,1.1256896276026964,2.412262085825205,4.30411991287153,4.30411991287153
46,High School,High,4.783876626752317,1.853509002365172,6.396536887633342,5
47,High School,High,3.300691658630967,3.3512288872152567,3.4466828944717345,3.4466828944717345
48,High School,Middle,2.381770770996809,2.270004002377391,5.3263391811245535,5
49,Graduate,Middle,3.8970909770578146,2.049799844622612,4.606391236795291,4.606391236795291
50,Some College,Middle,1.5760601619258523,3.4375136625021696,2.1390342129267275,2.1390342129267275
51,Bachelor's,Low,3.1082929903641343,2.1586940716952085,4.2404056948829485,4.2404056948829485
52,Some College,Middle,4.497405543923378,2.1064433250576258,3.4833400716446388,3.4833400716446388
53,Bachelor's,Middle,1.2664410378783941,4.668009595014155,3.7217202700642615,3.7217202700642615
54,Graduate,Low,3.3405888099223375,3.7869080379605293,2.919749514797375,2.919749514797375
55,Some College,Middle,3.826525297947228,2.8596058692783117,5.293828591193003,5
56,Graduate,Low,2.755207298323512,3.140558807179332,3.72500896555293,3.72500896555293
57,Some College,Low,3.222690047696233,2.131079555489123,3.2827181596879034,3.2827181596879034
58,Graduate,Middle,2.03253067471087,3.3076659590005875,4.258703368287698,4.258703368287698
59,Some College,High,3.8945554001256824,2.3101184256374836,5.451231795321936,5
60,Bachelor's,Low,1.18113521207124,3.0432463036850095,2.1228943115709287,2.1228943115709287
61,High School,Middle,1.5576668018475175,3.1587838688865304,2.4124955153169916,2.4124955153169916
62,Graduate,Middle,4.789850117638707,2.702816892415285,5.399993796265855,5
63,High School,Middle,1.8378965817391872,1.5552293499931693,4.3111276636617335,4.3111276636617335
64,High School,Middle,1.9270156947895885,1.4806412002071738,1.5058928917518764,1.5058928917518764
65,High School,Low,1.2687933631241322,4.696071228012443,2.5609009899294586,2.5609009899294586
66,Some College,Low,4.894421206787229,4.8683514622971416,3.840925023364993,3.840925023364993
67,Some College,Middle,4.245373252779245,3.5221231961622834,3.8635343313887134,3.8635343313887134
68,Bachelor's,High,2.8101544762030244,4.498051599599421,5.3564061428805765,5
69,Some College,High,1.0366138648241758,2.1314907679334283,2.7237400201386843,2.7237400201386843
70,Some College,Middle,4.939021549187601,2.784656652249396,4.309843500924579,4.309843500924579
71,High School,Low,3.7568997582420707,4.391277492046356,5.238358702127798,5
72,Bachelor's,Middle,2.9471357986330986,1.4037492545321584,3.9728547421186513,3.9728547421186513
73,High School,Middle,3.5617154128849506,2.7911030165851116,3.3447777814445345,3.3447777814445345
74,Graduate,Middle,2.7406160784885287,2.993871440179646,4.125186796061343,4.125186796061343
75,Some College,Low,4.685427408665419,1.9278301391750574,2.013042411543251,2.013042411543251
76,High School,Middle,3.184224456548691,3.9547767601907253,4.57997158919074,4.57997158919074
77,Bachelor's,Middle,1.1733975373208523,2.3536164620891213,3.6699653184843246,3.6699653184843246
78,High School,Middle,2.073500477708876,3.515951451845467,4.34065869878957,4.34065869878957
79,High School,Middle,2.056020892225206,1.240806559100747,2.583025636809114,2.583025636809114
80,Some College,Middle,3.691590310074389,4.749083634465933,5.687654359601739,5
81,Graduate,Low,3.044313307851553,2.3361394638195634,3.5330479557519587,3.5330479557519587
82,Graduate,High,1.4617725498974323,4.030887882225215,4.486979185792103,4.486979185792103
83,High School,High,4.026040003634989,4.970083692111075,5.170399032089827,5
84,High School,Middle,2.9443789841607213,2.805787161923945,3.4391602997935142,3.4391602997935142
85,Bachelor's,Low,1.2229160638526082,4.7958926521241665,5.1113883593305065,5
86,Some College,High,1.3387791579589248,3.428448445163667,2.8593491504187405,2.8593491504187405
87,Some College,Middle,1.0103723434731364,1.2107475101947784,3.1723852222815356,3.1723852222815356
88,Some College,Low,3.8757317261770368,2.297028054483235,3.8080443366934085,3.8080443366934085
89,Bachelor's,Low,2.430061761289835,1.2532618045806885,3.432316414335804,3.432316414335804
90,High School,High,1.0239240787923336,1.2428668895736337,4.501552387419516,4.501552387419516
91,Graduate,Low,4.061290732584894,2.983150185085833,3.3244832677448555,3.3244832677448555
92,Some College,Middle,4.739703189581633,3.669232664629817,4.628972321313498,4.628972321313498
93,Bachelor's,Middle,2.7509455299004912,1.8798882011324167,3.4370902050754104,3.4370902050754104
94,Graduate,Middle,2.458151947706938,4.671396430581808,4.599991522852706,4.599991522852706
95,High School,Middle,1.6820368636399508,1.4757887292653322,4.694603786215939,4.694603786215939
96,High School,Middle,1.12297083158046,1.8268637293949723,3.581620685593518,3.581620685593518
97,Some College,Middle,1.8905073422938585,3.6957501601427794,3.87800648747785,3.87800648747785
98,Bachelor's,High,4.187539683654904,2.9517555655911565,4.535554677213305,4.535554677213305
99,Graduate,Middle,2.82863958645612,3.4047585846856236,3.7736630330843153,3.7736630330843153
100,Some College,Low,3.609719251282513,3.8738787826150656,3.547109044624363,3.547109044624363
101,Graduate,Middle,3.964040420949459,4.457263493910432,3.2435317704226296,3.2435317704226296
102,Some College,High,1.0143939908593893,4.664086382836103,4.894258155561589,4.894258155561589
103,High School,Middle,4.422509959898889,1.8936478113755584,4.785471896711183,4.785471896711183
104,High School,Middle,1.8906633350998163,4.821195716969669,2.9927717099872098,2.9927717099872098
105,Graduate,Middle,4.775785470381379,4.425345568917692,5.660219977306822,5
106,Bachelor's,Middle,1.3866236107423902,3.118095831014216,3.4034706211509187,3.4034706211509187
107,Bachelor's,High,2.4907557498663664,1.0660025430843234,4.297908354833001,4.297908354833001
108,Graduate,Low,3.512680725194514,3.1428264062851667,6.115239014633057,5
109,Some College,Low,2.02082756254822,4.247173683717847,3.148943901440302,3.148943901440302
110,Graduate,Low,1.1090978011488914,3.4936246685683727,4.251935216983777,4.251935216983777
