id,world_id,country,visit,purchase,download
4,1,United States,1,1,0
9,1,United States,3,1,6
14,9,United States,3,1,30
57,1,United States,1,1,2
62,1,Nicaragua,3,0,0
67,9,United States,2,1,0
72,9,United States,1,0,0
75,9,Indonesia,2,0,35
77,9,Indonesia,0,0,0
78,9,Indonesia,3,1,25
86,9,Japan,1,0,5
87,9,Indonesia,1,1,5
88,9,Greece,3,0,30
91,1,Japan,0,0,0
93,9,Indonesia,3,0,10
96,9,United Kingdom,2,0,25
97,9,United Kingdom,1,0,0
98,9,Australia,1,1,20
99,1,Germany,1,1,0
100,9,Portugal,3,1,10
101,9,Hungary,3,1,5
103,1,Poland,0,0,0
105,9,United States,1,0,0
107,1,United States,2,1,0
112,1,United States,1,0,0
113,9,United States,1,0,0
115,9,United States,2,1,20
119,9,United Kingdom,1,0,0
121,9,United States,1,0,2
128,9,United States,2,0,5
131,9,United States,2,0,1
132,1,United States,2,1,3
134,9,United States,3,1,15
138,9,Mexico,3,1,100
139,9,United States,1,1,0
142,9,United Kingdom,0,0,10
146,9,Indonesia,1,1,5
147,9,India,1,0,0
150,9,United States,2,1,5
151,9,Indonesia,3,0,100
152,9,New Zealand,1,1,10
154,1,United States,1,1,3
157,9,United States,3,1,36
159,1,Norway,3,1,100
163,1,United States,1,0,0
166,9,United States,1,1,7
172,9,United States,1,1,0
174,1,United States,0,0,0
181,1,United States,0,0,1
183,9,United States,3,0,0
189,9,United States,3,1,20
194,9,United States,3,1,15
195,9,United States,3,1,30
197,9,United States,1,1,0
203,1,United States,3,1,5
204,9,United States,3,1,400
206,9,United States,3,1,0
207,9,United States,3,1,50
209,9,United States,3,1,0
210,9,United States,3,1,25
213,1,United States,2,0,0
214,1,United States,1,1,5
218,9,United States,1,1,0
219,9,Indonesia,1,0,0
221,9,Australia,3,1,5
222,9,Indonesia,3,1,0
228,1,United States,2,0,0
229,9,Indonesia,0,1,2
233,9,Indonesia,1,0,0
234,9,Indonesia,0,0,0
236,9,United States,0,0,0
237,9,United States,3,0,20
238,9,United Kingdom,2,1,3
239,9,Canada,3,1,0
241,1,United States,1,0,0
246,9,Brazil,3,1,3
247,9,United States,3,1,150
251,9,United States,3,1,50
257,9,United States,3,1,250
258,1,United States,1,0,2
261,9,Indonesia,0,0,0
262,9,Indonesia,3,1,15
263,1,United States,1,1,0
265,1,United States,3,1,0
269,1,United States,3,1,10
270,1,Indonesia,3,1,15
271,9,Indonesia,0,0,1
282,1,Indonesia,3,1,5
290,9,Saudi Arabia,1,0,0
293,9,France,3,0,50
294,1,United States,1,1,2
295,9,United States,3,1,0
296,9,United Kingdom,0,0,0
300,9,United States,1,1,0
303,9,United States,0,0,0
307,9,United States,0,1,0
308,9,United States,0,0,0
310,9,United States,1,1,0
313,9,Albania,1,0,44
314,1,United States,2,1,0
323,9,Indonesia,0,0,0
327,9,United States,3,1,0
329,1,United States,1,0,0
331,9,United States,3,1,5
334,9,United States,3,1,150
336,9,United States,2,0,20
337,9,United States,1,1,3
339,1,United States,1,0,1
340,9,United States,1,0,0
344,9,United States,2,1,0
352,9,United States,1,0,10
354,1,United States,0,1,2
357,9,United States,2,1,5
359,9,United States,1,0,20
364,9,United States,3,1,0
365,9,Portugal,0,1,2
369,9,United States,2,1,6
371,9,Indonesia,1,0,0
378,1,United States,2,1,0
384,1,United States,2,1,0
388,9,United States,2,1,5
393,9,United States,1,1,0
397,9,Indonesia,1,0,10
398,9,Indonesia,1,0,10
404,9,United States,2,0,1
409,9,United States,3,1,25
413,9,Indonesia,1,0,0
416,9,Indonesia,3,0,20
421,1,Canada,1,1,12
423,1,United States,1,0,6
424,9,United States,1,1,34
425,9,United States,1,1,0
428,9,United States,1,1,5
430,9,United States,0,0,0
431,1,United States,0,0,0
432,9,United States,2,1,130
435,9,United States,3,1,1
442,1,United Kingdom,3,0,25
448,9,United States,3,1,10
451,9,United States,1,1,3
452,1,Jordan,3,0,5
453,9,United States,1,1,0
458,9,United States,3,1,60
461,9,United States,1,1,0
462,9,United States,1,0,0
472,1,United Kingdom,1,1,20
473,9,United States,2,1,1
482,9,United States,1,1,0
484,9,United States,2,1,7
487,9,United States,1,1,0
489,9,United Kingdom,1,1,10
490,9,United States,3,1,30
496,1,United States,2,1,0
498,1,United States,0,0,0
505,9,United States,1,1,0
